基因	关系	基因
HSPD1	相互作用	RAF1
APP	相互作用	PRSS1
PDGFRA	相互作用	PTPN11
EGFR	相互作用	YWHAZ
JUN	相互作用	MAP1B
CASP2	相互作用	RB1
NFATC1	相互作用	RELA
MYH9	相互作用	TUFM
GRIA1	相互作用	GRIK2
NR3C1	相互作用	HDAC6
GRB2	相互作用	JAK2
ADRA1D	相互作用	NOS1
SMAD4	相互作用	UBE2I
MAP3K1	相互作用	MAPK8
MTOR	相互作用	PRKCD
CD5	相互作用	PRKCB
CDKN1A	相互作用	MAPK8
MIF	相互作用	VCAM1
AURKA	相互作用	HDAC6
MME	相互作用	NDUFA10
HSPD1	相互作用	SLC25A13
VCAN	相互作用	ITGB1
NPM1	相互作用	EIF2AK2
RHOA	相互作用	TNFRSF1A
MAPK8	相互作用	MAPK8IP2
ITGA4	相互作用	RPS17
MTOR	相互作用	GPHN
A2M	相互作用	ENO2
NEDD8	相互作用	SENP8
EIF2AK2	相互作用	TIRAP
ALK	相互作用	PDX1
CDK4	相互作用	CDK5
RHOA	相互作用	CDKN1B
BRAF	相互作用	HSPA5
SLC25A13	相互作用	SLC7A9
GRB2	相互作用	SYN1
C4B	相互作用	EEF1A1
PRKAR1A	相互作用	SLC2A4
ACTB	相互作用	CDK2
NFKBIA	相互作用	PRKCA
HSP90AA1	相互作用	NTRK3
FASN	相互作用	IKBKG
CREBBP	相互作用	IRF5
BAD	相互作用	MAP2K5
ARRB1	相互作用	RPL15
CALM1	相互作用	MAPT
CDK7	相互作用	E2F1
RPS19	相互作用	VCAM1
GSTP1	相互作用	TGM2
EGFR	相互作用	STAT1
FAS	相互作用	BTK
LMNA	相互作用	YWHAZ
BCL2A1	相互作用	JUN
CTSB	相互作用	RGS2
PRKACA	相互作用	TH
APP	相互作用	YWHAZ
LTA	相互作用	TNFRSF1B
EPOR	相互作用	STAT5B
DCN	相互作用	FN1
MAP3K1	相互作用	VIM
ERBB3	相互作用	IL6ST
BAX	相互作用	SNCA
IRS1	相互作用	PTPN11
PRKCZ	相互作用	RAF1
GRB2	相互作用	SLC1A2
CTNNB1	相互作用	TGFBR2
ABL1	相互作用	CD19
ABL1	相互作用	MDM2
PDE4D	相互作用	PRKACA
PTK2B	相互作用	PIK3R1
CXCL2	相互作用	PIK3R1
CS	相互作用	HSPB1
GSK3B	相互作用	SNCA
ESR1	相互作用	LMNA
JAK2	相互作用	MPL
MC2R	相互作用	POMC
CASP8	相互作用	GZMB
PDGFRB	相互作用	PLAUR
BCL6	相互作用	CFLAR
CDK5	相互作用	MAPK1
DST	相互作用	NFKB1
GRB2	相互作用	INSR
LRP1	相互作用	SERPINA1
HSPA1B	相互作用	PRKCA
HSPB1	相互作用	YWHAZ
ATP1A1	相互作用	MAPK3
STAT5B	相互作用	TEK
COL1A1	相互作用	ITGB1
LDHA	相互作用	HNF1A
GSK3B	相互作用	PSEN1
MEN1	相互作用	NFKB1
PPARD	相互作用	NCOR1
GFAP	相互作用	PRKACA
RAC1	相互作用	RPS6KB1
DNMT1	相互作用	RPS27A
RPS27A	相互作用	TNFRSF1A
GRB2	相互作用	SH2B3
FKBP1A	相互作用	FKBP4
F2	相互作用	F2RL1
ACAT1	相互作用	ITGA4
MAPK3	相互作用	RAF1
APOE	相互作用	CYP2C8
APP	相互作用	PCBD1
APP	相互作用	CREB1
ITGA2B	相互作用	F11R
CACNB2	相互作用	PRKACA
AKT1	相互作用	SFN
SMAD2	相互作用	RARB
PML	相互作用	TGFBR1
CHUK	相互作用	HSPD1
CD247	相互作用	TIRAP
NTF3	相互作用	NTRK1
CHUK	相互作用	IRS1
DST	相互作用	KRT14
JUN	相互作用	MAPK9
CASP2	相互作用	TNFRSF1A
PRKCQ	相互作用	STK39
CD3D	相互作用	VCP
THRB	相互作用	JMJD1C
CFTR	相互作用	MUC2
HESX1	相互作用	NCOR1
CDK2	相互作用	TOP1
ITGA4	相互作用	SLC2A1
PDPK1	相互作用	PRKCZ
VHL	相互作用	RAB7A
ESR1	相互作用	IGF1R
CEBPB	相互作用	HMGB1
HNF4A	相互作用	MDM2
CHRM3	相互作用	GZMB
EGR1	相互作用	GCLC
RAF1	相互作用	SRC
GRB2	相互作用	PSEN1
NQO1	相互作用	ITGA4
COL1A1	相互作用	COL7A1
CDK4	相互作用	CDKN2A
CREBBP	相互作用	NCF2
ARRB1	相互作用	YWHAB
FASLG	相互作用	MAPK8
VCAM1	相互作用	VDAC1
CTTN	相互作用	PAK1
POU1F1	相互作用	PPARA
GRIN1	相互作用	HSPA1B
ALK	相互作用	MAP3K1
CALM1	相互作用	TGM2
ACTB	相互作用	NEDD8
CLU	相互作用	PRNP
GSN	相互作用	MDM2
HIF1A	相互作用	MAPK3
BAD	相互作用	BCL2
MYC	相互作用	SP1
TLR1	相互作用	TLR2
CDK2	相互作用	RPS19
AR	相互作用	CTNNB1
RELA	相互作用	CCL5
CXCL2	相互作用	MMP1
FYN	相互作用	STAT3
IKBKB	相互作用	YWHAB
BCL2L1	相互作用	SNCA
CACNA1A	相互作用	VWF
EIF4E	相互作用	MTOR
VCAM1	相互作用	YWHAZ
ACTN1	相互作用	PRKCB
HSP90AA1	相互作用	ITK
SMAD3	相互作用	TP53
BCR	相互作用	RAC1
BIRC5	相互作用	HSP90AA1
LRP1	相互作用	PLAUR
ITGA4	相互作用	NDUFA2
CALCR	相互作用	FLNA
DYRK1A	相互作用	YWHAB
TNFRSF1A	相互作用	MADD
ETS1	相互作用	PRKDC
IL2	相互作用	NFATC1
NR3C1	相互作用	TGFB1I1
CALR	相互作用	HLA-A
RET	相互作用	IKBKG
CAT	相互作用	KEAP1
ESR2	相互作用	OXT
C1QA	相互作用	ELANE
NR3C2	相互作用	SRC
CREBBP	相互作用	HNF1A
RELA	相互作用	ZBTB7A
ATP2A1	相互作用	IRS1
APP	相互作用	CAT
CDK2	相互作用	GSTM2
CDKN3	相互作用	EGR1
MTOR	相互作用	SIRT1
CDKN1B	相互作用	SRC
CDKN1A	相互作用	IKBKG
APP	相互作用	LIMK1
BRAF	相互作用	HRAS
GNAI1	相互作用	PGR
CREBBP	相互作用	CTBP1
CASP8	相互作用	IKBKB
ANXA5	相互作用	APP
A2M	相互作用	IL1B
NR4A1	相互作用	MAP3K1
PML	相互作用	RARA
GRB2	相互作用	PSAP
CREBBP	相互作用	JUN
HSP90AA1	相互作用	EIF2AK2
HSP90AA1	相互作用	RET
GRB2	相互作用	MAPK12
MBP	相互作用	MAP3K5
GRIN2B	相互作用	PRKCB
NR3C1	相互作用	NCOR1
ARRB1	相互作用	IKBKB
UBE2I	相互作用	PARK7
MEFV	相互作用	PSTPIP1
MAPK1	相互作用	RXRA
F11	相互作用	HGF
CDC25C	相互作用	YWHAZ
FTH1	相互作用	SREBF2
GAPDH	相互作用	HTT
FN1	相互作用	TF
ESR2	相互作用	SMAD3
TP53	相互作用	KDM1A
CASP8	相互作用	TRAF1
TLR2	相互作用	TLR6
PARP1	相互作用	NEDD8
PRKCD	相互作用	YWHAB
NFKBIA	相互作用	TUBA1A
MDM2	相互作用	S100A1
TNFRSF10B	相互作用	TNFRSF10A
NFKBIA	相互作用	TUBB4A
AKT1	相互作用	MTOR
NR3C1	相互作用	NTRK2
CXCL8	相互作用	RELA
A2M	相互作用	IL4
NEK2	相互作用	VCP
FASLG	相互作用	ITK
ALK	相互作用	PTPRG
ITGA4	相互作用	PFKL
DRD2	相互作用	KCNJ6
BRCA1	相互作用	EP300
BMPR1A	相互作用	FOS
MDM2	相互作用	NPM1
HSP90AA1	相互作用	UCHL1
APP	相互作用	PRKCG
SMAD3	相互作用	MYD88
IL4	相互作用	PIK3CD
APP	相互作用	HPGD
HSPA1B	相互作用	TP53
HNRNPA2B1	相互作用	NEDD8
FNTA	相互作用	TGFBR1
KCNB1	相互作用	SNAP25
CALM1	相互作用	TNFRSF1B
CDK4	相互作用	CDKN1B
HRAS	相互作用	SRC
KRAS	相互作用	PIK3CG
SMAD2	相互作用	AXIN1
ICAM1	相互作用	UBB
IGF1	相互作用	TF
ADCY8	相互作用	CALM1
CFTR	相互作用	SNX9
ESR1	相互作用	NPPA
IKBKB	相互作用	KEAP1
CDK2	相互作用	HMGB1
CDC42	相互作用	DOCK8
CFTR	相互作用	WFS1
CCND1	相互作用	TCF4
EPOR	相互作用	KIT
APP	相互作用	COL4A1
APP	相互作用	ATXN3
ALB	相互作用	LRP2
CAPN1	相互作用	KNG1
EP300	相互作用	SMAD2
APP	相互作用	NR1H3
F2	相互作用	ITGA2B
HNF1A	相互作用	SIRT1
NR4A1	相互作用	HSP90AB1
HNRNPA2B1	相互作用	VCAM1
C3	相互作用	LRP1
CASP8	相互作用	MAPK8
C3	相互作用	C5
WAS	相互作用	ACTR2
BCL6	相互作用	IRF4
NR1H3	相互作用	NCOA6
CD79A	相互作用	LCK
UBB	相互作用	CUL4A
COL1A1	相互作用	FGF7
AQP1	相互作用	TRAF1
CDC42	相互作用	LCK
FKBP1A	相互作用	SMAD7
HSP90AA1	相互作用	YWHAZ
COL1A1	相互作用	FN1
GNAI1	相互作用	IGF1R
TGM2	相互作用	UBB
JUN	相互作用	FOSL1
JUN	相互作用	PML
CALM1	相互作用	RYR1
SMAD2	相互作用	MYC
HNRNPK	相互作用	MYC
PRKCE	相互作用	VDAC1
APP	相互作用	SLC22A6
ATXN3	相互作用	TRIM63
APOA1	相互作用	CD40LG
LCK	相互作用	SMAD2
NOD2	相互作用	NLRP3
VHL	相互作用	CUTA
SMAD7	相互作用	TGFBR2
TOP1	相互作用	TOP2A
CCND1	相互作用	THRA
CHUK	相互作用	CLU
ACTA2	相互作用	JUN
ITGA4	相互作用	PPP2R1A
HNRNPA2B1	相互作用	ITGA4
BLVRA	相互作用	MAPK3
TGFB1	相互作用	TGFB2
CD3D	相互作用	NR3C1
CASP6	相互作用	EIF2S1
DAXX	相互作用	PML
CSF2RB	相互作用	IL5
PRKCB	相互作用	RB1
HSP90AA1	相互作用	RPL11
FYN	相互作用	WASF1
HDAC1	相互作用	ZBTB7A
GSTP1	相互作用	MAPK8
C3	相互作用	CFH
ERBB3	相互作用	RGS4
CDKN1A	相互作用	EEF1A1
FAS	相互作用	PRKCA
KLK3	相互作用	NTRK1
HLA-B	相互作用	ACTR2
GFAP	相互作用	PSEN1
MAPK9	相互作用	MAPK8IP2
GFAP	相互作用	MEN1
MTOR	相互作用	IRS1
ITGB1	相互作用	PDHB
PEBP1	相互作用	VHL
GRIA3	相互作用	GZMB
CCNB1	相互作用	FLNA
CREBBP	相互作用	E2F1
HSPD1	相互作用	TLR1
SRC	相互作用	THRB
DRD3	相互作用	GNAI1
FGB	相互作用	SMN2
EIF2AK2	相互作用	STAT3
LRP2	相互作用	SERPINE1
PRKACA	相互作用	PRKAR1A
EGR1	相互作用	IL2
MAP3K1	相互作用	MAPK1
BCL6	相互作用	HNF1A
RAD51	相互作用	WRN
NPY1R	相互作用	PYY
IKBKB	相互作用	MAP3K1
APP	相互作用	CALR
CDK2	相互作用	PRKDC
CHAT	相互作用	PRKCD
BRAF	相互作用	NRAS
CREBBP	相互作用	SREBF1
ACTB	相互作用	RAC1
FLNA	相互作用	SELE
A2M	相互作用	CFTR
HLA-B	相互作用	MAPK1
OPRD1	相互作用	OPRK1
CAPN1	相互作用	F2R
NOS2	相互作用	NCOR1
ACTB	相互作用	NCF2
ESR1	相互作用	HSPB1
EGR1	相互作用	CXCL8
ID1	相互作用	CASK
CASP9	相互作用	DSP
ACVRL1	相互作用	TGFB3
BCL2L1	相互作用	CLU
CYBA	相互作用	RAC1
FGF7	相互作用	FGFR1
HDAC1	相互作用	KDM1A
HSPA1B	相互作用	MAP2K1
APP	相互作用	LRP1
ADCY5	相互作用	GNAS
AKT2	相互作用	GSK3B
HLA-C	相互作用	PSME3
HADHB	相互作用	MAP3K1
NTRK1	相互作用	PTPN11
NFE2L2	相互作用	PRKCD
DST	相互作用	TGFB1
CEBPB	相互作用	IGFBP3
CD44	相互作用	ERBB2
HSPB1	相互作用	LBP
BID	相互作用	CSNK1A1
MYC	相互作用	PLAU
AR	相互作用	SMAD4
E2F1	相互作用	CHEK2
HSP90AA1	相互作用	MAP3K1
LIMK1	相互作用	YWHAZ
KLKB1	相互作用	KNG1
EGR1	相互作用	BMF
BRCA1	相互作用	CREBBP
CASP3	相互作用	RB1
EGR1	相互作用	LIMK1
RAC1	相互作用	STAT1
MYC	相互作用	SLC25A13
MS4A2	相互作用	PTPN11
RHOA	相互作用	HLA-B
CAT	相互作用	GRB2
MAPK8	相互作用	RAF1
BRCA1	相互作用	RAD51
DAXX	相互作用	TGFBR2
GRB2	相互作用	MAPK1
TUBA4A	相互作用	ZAP70
HOXA9	相互作用	SMAD2
CYP2E1	相互作用	ECHS1
JAK1	相互作用	PTPN11
EIF4EBP1	相互作用	PPP2R2A
FASLG	相互作用	TNFRSF1A
APP	相互作用	ASS1
AKT2	相互作用	VIM
HNF4A	相互作用	NPPA
GJA1	相互作用	PRKCB
ASS1	相互作用	YWHAZ
UBB	相互作用	YWHAB
CD247	相互作用	CD5
CAMK4	相互作用	GAPDH
PPARA	相互作用	NCOA6
HLA-B	相互作用	NPM1
E2F1	相互作用	NCOA6
SMN1	相互作用	TUBB3
CCNA2	相互作用	CDK2
ESR1	相互作用	NCOA1
CYP2E1	相互作用	GATM
FBN1	相互作用	HSPG2
HOXA9	相互作用	RBPMS
PLK1	相互作用	RELA
CREBBP	相互作用	POU1F1
CREBBP	相互作用	SMARCA4
DSP	相互作用	PRKACA
FGFR1	相互作用	ITK
IGF2	相互作用	RBPMS
CALM1	相互作用	NOS3
CCR3	相互作用	CCL4
ACTB	相互作用	ITGA4
APP	相互作用	BCL2A1
GHR	相互作用	PTPN11
NOS1	相互作用	PTPN6
EGR1	相互作用	LIG1
CA2	相互作用	HSPD1
LCK	相互作用	TUBA1A
FGFR2	相互作用	GRB2
FYN	相互作用	SP1
SFN	相互作用	NR3C1
EGFR	相互作用	ERBB4
VCP	相互作用	RAB3GAP2
ESR1	相互作用	HADHA
CDKN1B	相互作用	MAPK8
CNR1	相互作用	MET
HSP90AB1	相互作用	YWHAB
PARP1	相互作用	NFKB2
MARK3	相互作用	TTR
HNF4A	相互作用	NR2F1
IKBKG	相互作用	BAG3
BCL6	相互作用	FCER2
HSP90AB1	相互作用	SGK3
GSK3B	相互作用	IKBKG
ABL1	相互作用	ERBB3
PDE3A	相互作用	PRKAR1A
EGFR	相互作用	HTT
ITGA4	相互作用	MYH9
CREB1	相互作用	MYC
HSP90AB1	相互作用	SLC25A13
SRC	相互作用	TUB
FKBP1A	相互作用	ITPR1
FAS	相互作用	EEF1A1
GRB2	相互作用	SP1
CALM1	相互作用	SMAD2
NR3C1	相互作用	HMGB1
AGT	相互作用	AGTR2
PRKCA	相互作用	SYK
CTNNB1	相互作用	KDR
CSNK1A1	相互作用	TGFBR1
MBP	相互作用	MAPK3
CD3E	相互作用	ZAP70
DSP	相互作用	NFKB1
BMPR1A	相互作用	SMAD7
ATXN3	相互作用	NEDD8
EGF	相互作用	ERBB2
AR	相互作用	MAPK1
GRB2	相互作用	PAX3
CCNB1	相互作用	VCP
GRIN1	相互作用	MYH9
AR	相互作用	SMAD3
GABRB3	相互作用	PRKCA
TF	相互作用	VKORC1
AKT1	相互作用	SIRT1
CTNNB1	相互作用	TCF4
AR	相互作用	NRIP1
PPP3CA	相互作用	PRKCZ
PER1	相互作用	RBPMS
NFE2	相互作用	RPS27A
CFTR	相互作用	HSP90AA1
HTR2A	相互作用	NTRK3
EIF4E	相互作用	RPS6KB1
ARRB1	相互作用	GSK3B
CCL20	相互作用	TGFB3
MTOR	相互作用	PRKCA
KLF5	相互作用	HDAC1
EP300	相互作用	HNF1A
GRB2	相互作用	PRNP
CREBBP	相互作用	ETS1
ARRB1	相互作用	GSN
ITGB4	相互作用	PRKCD
CHUK	相互作用	CREBBP
SP1	相互作用	PSIP1
EP300	相互作用	FOXG1
HLA-B	相互作用	RAB7A
CRP	相互作用	LEP
ANG	相互作用	ABCG8
SLC25A20	相互作用	KDM1A
NPM1	相互作用	PLK1
FYN	相互作用	PAX3
APP	相互作用	MYH9
IL6ST	相互作用	PIK3R1
PRKCA	相互作用	TOP2A
CDK6	相互作用	CDKN1A
HLA-B	相互作用	STAT1
CCND1	相互作用	CALM1
APP	相互作用	TNNT2
TRAF1	相互作用	CFLAR
PIK3R1	相互作用	MAPK8
ACTB	相互作用	PRKCD
ABL1	相互作用	PTPN1
F11	相互作用	KNG1
PRKCZ	相互作用	SRC
LDHA	相互作用	PCNA
PEBP1	相互作用	MAP2K1
BCL2L1	相互作用	MTOR
FOS	相互作用	PPP5C
HSPB1	相互作用	SNCA
AGTR1	相互作用	HRAS
PTK2	相互作用	STAT1
PARP1	相互作用	PRKDC
BCL6	相互作用	BTK
PRKCA	相互作用	RAC1
AKT1	相互作用	PPP2R1A
AR	相互作用	FLNA
AR	相互作用	EGFR
THRA	相互作用	NCOR1
RELA	相互作用	RPS27A
EGFR	相互作用	HSP90AB1
CCL11	相互作用	TPI1
CD44	相互作用	TGFBR2
GAPDH	相互作用	SMN1
CTSG	相互作用	KNG1
MAPK1	相互作用	STAT5B
ESR1	相互作用	HNRNPK
FGFR2	相互作用	PIK3R1
ABL1	相互作用	MKI67
ESR1	相互作用	NSDHL
HRAS	相互作用	PLAU
RB1	相互作用	NCOA6
APOA1	相互作用	CFHR1
APP	相互作用	CD36
CCR5	相互作用	CXCR4
APOA1	相互作用	CLU
PDPK1	相互作用	PRKCD
EGFR	相互作用	KRT5
DAXX	相互作用	AXIN1
PARP1	相互作用	TP53
ESR1	相互作用	ESR2
KCNJ11	相互作用	ABCC9
SLC18A2	相互作用	PARK7
TNFRSF1B	相互作用	UBB
SMAD2	相互作用	UBB
IL4	相互作用	NFATC1
FGF8	相互作用	FGFR2
PTEN	相互作用	PARK7
ALOX12	相互作用	KRT5
RARA	相互作用	RXRA
PRKCQ	相互作用	SELL
LRP2	相互作用	SHBG
HSP90AA1	相互作用	MME
CNP	相互作用	PRKCD
SMAD3	相互作用	MAX
ABL1	相互作用	CTNNB1
CD40	相互作用	SGK1
UBB	相互作用	VCAM1
APP	相互作用	NDUFB3
POU1F1	相互作用	NCOR1
ACTC1	相互作用	ACTR2
CDKN2A	相互作用	HSP90AB1
CD247	相互作用	FCGR3A
EGR1	相互作用	RELA
CALM1	相互作用	INSR
IKBKB	相互作用	PLK1
RHOA	相互作用	BCR
HK1	相互作用	VDAC1
CASP7	相互作用	MEF2A
CDKN2A	相互作用	HLA-B
ERBB4	相互作用	HDAC6
APP	相互作用	CHRNA7
PTPRG	相互作用	TEK
STAT3	相互作用	NCOA1
RARA	相互作用	NCOA6
NKX3-1	相互作用	PEBP1
SFN	相互作用	IRS1
ERBB2	相互作用	PIK3R2
PRKCD	相互作用	TNFRSF1A
HSP90AA1	相互作用	MAX
HSP90AA1	相互作用	HDAC6
UCHL1	相互作用	VHL
CDKN1A	相互作用	HDAC1
F8	相互作用	HSPA5
MME	相互作用	SLC16A1
PGK1	相互作用	PIK3C2A
ITGB1	相互作用	TGM2
F7	相互作用	F10
IGF1R	相互作用	PRKCD
HSF1	相互作用	NCOA6
BCL2	相互作用	PMAIP1
MME	相互作用	VIP
HSP90AB1	相互作用	LCK
SMARCA4	相互作用	STAT3
ASNS	相互作用	VCAM1
PSMB4	相互作用	TUBA4A
PRKCA	相互作用	RPL10
EGFR	相互作用	KRT14
CA12	相互作用	DAXX
HNF4A	相互作用	SMAD2
CSNK1A1	相互作用	YWHAZ
PAM	相互作用	POMC
EEF1A1	相互作用	DIABLO
DSP	相互作用	NEDD8
MYC	相互作用	RPS27A
CDK2	相互作用	UBE2I
TNFRSF10B	相互作用	CFLAR
PTPN11	相互作用	STAT5B
CCR4	相互作用	CCL3
FYN	相互作用	GRIN1
PIK3R1	相互作用	RXRA
CCR3	相互作用	CCL3
EGR1	相互作用	JUN
ANXA5	相互作用	COL2A1
RPSA	相互作用	RPS19
PTK2	相互作用	STAT3
CHUK	相互作用	CTNNB1
CASP8	相互作用	UBB
CFH	相互作用	SELL
MAPK1	相互作用	ADAM17
GRB2	相互作用	TUB
GABBR1	相互作用	KCNJ6
FLNA	相互作用	FYN
CEBPB	相互作用	IL1B
NRTN	相互作用	RET
CDKN1A	相互作用	EP300
SFN	相互作用	MDM2
HIF1A	相互作用	KCNMB1
GRB2	相互作用	PIK3R2
ABCB1	相互作用	PIM1
AVP	相互作用	AVPR2
EP300	相互作用	RARA
NFKB2	相互作用	RELA
JAK2	相互作用	TUB
CAPN2	相互作用	CASP9
STAT1	相互作用	HDAC4
EDN1	相互作用	EDNRB
BRCA1	相互作用	JAK2
CD5	相互作用	LCK
CASP3	相互作用	MEF2A
BAX	相互作用	BCL2A1
PDGFRB	相互作用	TYK2
CSF2RB	相互作用	YWHAZ
CDKN1B	相互作用	UCHL1
PTPRG	相互作用	WAS
FASN	相互作用	MAPK13
MAPK8	相互作用	RPLP2
HNRNPA2B1	相互作用	RPSA
APP	相互作用	F12
NOS2	相互作用	YWHAZ
CYB5R3	相互作用	CYCS
GSK3B	相互作用	PIM2
HSP90AB1	相互作用	NR1I2
MEN1	相互作用	NFKB2
PRKCA	相互作用	TNNI3
CREBBP	相互作用	RELA
CREBBP	相互作用	SMAD3
CASP3	相互作用	PSIP1
COL4A1	相互作用	COL7A1
HSP90AB1	相互作用	PRKCZ
EP300	相互作用	KAT5
BCL2	相互作用	VDAC1
APP	相互作用	PRNP
EHHADH	相互作用	TRAF1
FASLG	相互作用	PIK3CA
ANG	相互作用	TP53
NR1H2	相互作用	VDR
HNRNPK	相互作用	UBE2I
CTNNB1	相互作用	SRC
EEF1A1	相互作用	SLC25A13
ACTB	相互作用	CYBB
ITGA4	相互作用	LDHA
DST	相互作用	PTK2
PTK2	相互作用	RAC1
ESR1	相互作用	THRB
KNG1	相互作用	PLG
IFNA1	相互作用	IRF5
SYK	相互作用	UBB
TOP1	相互作用	TP53
BCL2L1	相互作用	CAPN1
BCL2	相互作用	PSEN1
CREBBP	相互作用	HIF1A
CAV1	相互作用	PDGFRA
BAX	相互作用	EGR1
SFN	相互作用	KCNK3
MBP	相互作用	MMP7
FGFR1	相互作用	PIK3R2
LEP	相互作用	STAT3
CDC25C	相互作用	SRC
CAMK4	相互作用	HSP90AA1
ERBB2	相互作用	PIK3R1
ABCC1	相互作用	NPM1
PCNA	相互作用	CUL4A
CREB1	相互作用	GSK3B
AGT	相互作用	GRB2
CHRNA7	相互作用	PIK3R1
SDHC	相互作用	SDHD
F8	相互作用	MCFD2
CASP9	相互作用	MAPK3
PIK3R1	相互作用	TGFBR1
CBS	相互作用	CDK2
CISH	相互作用	IL2RB
PEBP1	相互作用	NR2C2
CDKN1A	相互作用	RAI1
FDPS	相互作用	FGFR1
BCR	相互作用	YWHAZ
DUSP3	相互作用	FGF7
MAPK3	相互作用	RPS6KA3
CACNA1C	相互作用	CALM1
COL1A1	相互作用	MMP9
CALM1	相互作用	LY96
HSP90AB1	相互作用	RPS19
CHUK	相互作用	CRYAB
PPBP	相互作用	MAP2K1
ERBB2	相互作用	MAPK8IP2
ALB	相互作用	F7
NFKB1	相互作用	NCOA1
MARK3	相互作用	YWHAB
GRB2	相互作用	PHGDH
ESR1	相互作用	ACTR3
HTT	相互作用	PIK3R1
LGALS1	相互作用	VCAM1
IKBKB	相互作用	CFLAR
RHOA	相互作用	HTR1A
F3	相互作用	FLNA
CRYAB	相互作用	BAG3
IGFBP3	相互作用	KLKB1
CSNK1A1	相互作用	NFATC3
ACSL4	相互作用	YWHAZ
ARRB1	相互作用	HCRTR1
MYC	相互作用	TOP1
ATM	相互作用	PRKDC
CDH1	相互作用	FGFR1
MMP3	相互作用	CCL2
PARP1	相互作用	ITGA4
HDAC1	相互作用	SYK
VCAM1	相互作用	YWHAB
CTBP1	相互作用	HSD11B2
PTGER2	相互作用	PTGFR
SERPINA3	相互作用	F5
SMAD4	相互作用	CITED1
ESR1	相互作用	STAT3
EGFR	相互作用	IGF1R
ATP1A1	相互作用	SMAD2
DLG4	相互作用	JUN
APP	相互作用	HMBS
YWHAZ	相互作用	IKBKG
HSPB1	相互作用	NOS2
PRKDC	相互作用	CHEK2
PTK2B	相互作用	ITGB2
KCNJ11	相互作用	ABCC8
BRCA1	相互作用	STAT3
NFKB1	相互作用	TNFSF11
GAPDH	相互作用	RPS19
CDK2	相互作用	TP53
GSK3B	相互作用	SREBF1
CASP8	相互作用	PARK7
CACNA1S	相互作用	PPP2R2A
MME	相互作用	PIK3R1
IRS1	相互作用	MAPK8
FN1	相互作用	JUN
CREBBP	相互作用	ELK1
HLA-C	相互作用	PSMB4
SMAD4	相互作用	TGFB1I1
CASP8	相互作用	HSPA5
IL6ST	相互作用	JAK1
MGMT	相互作用	PRKACA
APP	相互作用	OTX2
BARD1	相互作用	NFKBIA
AKT2	相互作用	CHUK
FYN	相互作用	HNRNPK
MMP1	相互作用	TIMP3
CASP3	相互作用	CDKN1A
RPS17	相互作用	VCAM1
HP	相互作用	ITGAM
RAF1	相互作用	CDC37
TGFB1I1	相互作用	VHL
VIM	相互作用	ESS2
C1S	相互作用	C3
MET	相互作用	PIK3R1
PRKCA	相互作用	SRC
FASLG	相互作用	SNX9
HSP90AB1	相互作用	VCAM1
HDAC1	相互作用	SIN3A
GAPDH	相互作用	VCAM1
HINT1	相互作用	MITF
RHOA	相互作用	TGM2
APOE	相互作用	MAPT
MAPK12	相互作用	MAP2K4
ARG1	相互作用	NOS1
CCNB1	相互作用	RB1
KIF11	相互作用	NCOR1
CSNK1A1	相互作用	HSP90AB1
ALB	相互作用	KCNMA1
GRIN2B	相互作用	SRC
ADRA2C	相互作用	YWHAZ
A2M	相互作用	SMN1
CDK4	相互作用	PGD
DUSP3	相互作用	SYK
CDC25A	相互作用	DMD
CDK2	相互作用	DSP
ATM	相互作用	CHEK2
SMAD4	相互作用	SERPINA1
ADRA2B	相互作用	YWHAZ
HSP90AB1	相互作用	CUL4A
IGF1	相互作用	IGFBP1
NFATC1	相互作用	PRKCA
FLNA	相互作用	PAK1
SERPING1	相互作用	SELE
SMAD4	相互作用	NRAS
BMP4	相互作用	BMPR2
HSP90AA1	相互作用	PRKCZ
FCER1A	相互作用	MS4A2
APP	相互作用	AFG3L2
HTR2A	相互作用	RPS6KA3
KLF5	相互作用	RARA
GAPDH	相互作用	PTK2
CDK2	相互作用	GTF2I
GCH1	相互作用	SH3GL2
APEX1	相互作用	PCNA
CDKN1A	相互作用	UBB
GHR	相互作用	STAT5B
ANG	相互作用	PTEN
EP300	相互作用	JUNB
LMNA	相互作用	PRKCA
GSK3B	相互作用	YWHAZ
KRT14	相互作用	MDM2
APP	相互作用	CDKN2B
RPL11	相互作用	VDAC1
PRLR	相互作用	YWHAZ
ENO2	相互作用	TUBA1A
PECAM1	相互作用	PIK3R1
CASP8	相互作用	IKBKG
CDK7	相互作用	RARA
APP	相互作用	CCL13
PGK1	相互作用	MAPK13
HLA-B	相互作用	PEBP1
ABL1	相互作用	CAST
CRYAB	相互作用	DES
PPIB	相互作用	VHL
FYN	相互作用	PIK3R2
NCOA1	相互作用	NCOA6
DHODH	相互作用	MT2A
CDK6	相互作用	CDKN1B
ARRB1	相互作用	EGR1
ACTB	相互作用	PLG
BCL2L1	相互作用	CASP2
SFN	相互作用	RAF1
NPM1	相互作用	RELA
FGA	相互作用	FGB
GRB2	相互作用	KCNMA1
FASN	相互作用	NOS2
NPM1	相互作用	YWHAZ
APP	相互作用	ZEB2
MAPK1	相互作用	RPS6KA3
ACVRL1	相互作用	DNMT1
CTBP1	相互作用	TCF4
INS	相互作用	LRP2
GNA12	相互作用	PPP2R1A
SYN1	相互作用	VIM
