154447-36-6	DB02656
(16R)-ent-11  -Hydroxykauran-15-one	Compound2145
(1S,4aS,10aR)-7-isopropyl-1,4a-dimethyl-5,8-dioxo-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid	Compound2146
(2S)-5,7,2'-trihydroxy-6-methoxydihydroflavone	Compound2147
3,7-dihydroxy-6-methoxyflavone	Compound2148
5,3'-dihydroxy-7,4'-dimethoxyflavanone	Compound2149
5,4'-Dihydroxy-6-methyl-7-methoxyflavanone	Compound2150
7,3',5'-trihydroxyflavanone	Compound2151
cyperenoic acid	Compound2152
Glutinic acid	Compound2153
Lucidenic acid F	Compound2154
Nardosinonediol	Compound2155
7-hydroxyflavonone	Compound2156
Platyphyllonol	Compound2157
Madolin U	Compound2158
3''-prenyldaidzein	Compound2159
Angelidiol	Compound2160
Senkyunolide J	Compound2161
senkyunolide-J	Compound2162
5,2'-dihydroxy-6,7,8,3'-tetramethoxy flavone	Compound2163
14-Formyldihydrorutaecarpine	Compound2164
3',4-Dihydroxy-3,5'-dimethoxystilbene	Compound2165
N-methylcalycinine	Compound2166
lucidone C	Compound2167
nambinone A	Compound2168
rulepidatriol	Compound2169
4',7-Dihydroxy-3'-methoxy-8-methylflavan	Compound2170
Leoheteronin D	Compound2171
5,7-dihydroxy-4'-methoxy-8-prenylisoflavone	Compound2172
5,7-dimethoxy-2'-hydroxyflavone	Compound2173
5-Epi-eudesm-4(15)-ene-1  ,6  -diol	Compound2174
5-Hydroxy-7-methoxy-chromen-2-one	Compound2175
5'-methoxydonkey herbivore	Compound2176
5  -Hydroxy-eudesman-7(11)-en-8  (12)-olide	Compound2177
5  -Hydroxy-eudesman-7(11)-en-8  (12)-olide	Compound2178
eudesm-4(15)-ene-1beta,6a-diol	Compound2179
glyceollin,i	Compound2180
glycybridin J	Compound2181
Hespertitinic acid	Compound2182
isolonchocarpin	Compound2183
(7S,8S,9S,10R,13S,14S,17R)-17-ethyl-7-hydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,17-decahydro-1H-cyclopenta[a]phenanthrene-3,16-dione	Compound2184
(8R,9S,10R,11R,13S,14S,15S,17E)-17-ethylidene-11,15-dihydroxy-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15-decahydrocyclopenta[a]phenanthrene-3,16-dione	Compound2185
(9aS,9bR)-3,6,9-trimethyl-5,7,9a,9b-tetrahydro-4H-azuleno[5,4-d]furan-2-one	Compound2186
(Z)-6-(2,3-Dimethyltricyclo[2.2.1.02,6]hept-3-yl)-3-methylhexadecane-3-en-2-one	Compound2187
1-[(5R,8R,9S,10S,12R,13S,14S,17S)-12-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone	Compound2188
1-alpha-Aldehyde-2-beta-[3-butanone]-3-alpha-methyl-6-beta-[2-propanoic acid]-cyclohexane	Compound2189
1-Oxo-2  -[3-butanone]-3  -methyl-6  -[2-propanoic acid]-cyclohexane	Compound2190
(6S)-6-hydroxy-1-methyl-6-methylol-8,9-dihydro-7H-naphtho[8,7-g]benzofuran-10,11-quinone	Compound2191
1-methyl-8,9-dihydro-7H-naphtho[5,6-g]benzofuran-6,10,11-trione	Compound2192
6-Methyl-7-(3-oxobutyl)-bicyclo[4.1.0]heptan-3-one	Compound2193
Spiro[2.5]octane,5,5-dimethyl-4-(3-oxobutyl)-	Compound2194
(2S)-2-[(1R,4R,4aS,8aS)-4,7-dimethyl-1,2,3,4,4a,5,6,8a-octahydronaphthalen-1-yl]propionic acid	Compound2195
(1R)-1-[(2S,4aR,4bS,7R,8aS)-7-hydroxy-2,4b,8,8-tetramethyl-4,4a,5,6,7,8a,9,10-octahydro-3H-phenanthren-2-yl]ethane-1,2-diol	Compound2196
(4R)-4-[(3R)-3-hydroxybutyl]-3,5,5-trimethylcyclohex-2-en-1-one	Compound2197
(4R)-4-[(5R,10S,13R,14R,17R)-3,7,11,15-tetraketo-4,4,10,13,14-pentamethyl-2,5,6,12,16,17-hexahydro-1H-cyclopenta[a]phenanthren-17-yl]valeric acid	Compound2198
(1R)-2-[(2S)-1-methyl-2-piperidyl]-1-phenyl-ethanol	Compound2199
(2R)-7-hydroxy-2-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]chroman-4-one	Compound2200
(2S)-2',4'-Dihydroxy-2''-(1-hydroxy-l-methylethyl)-dihydrofuro[2,3-h]-flavanone	Compound2201
8-(5,6,7,8-Tetrahydro-6-methyl-1,3-dioxolo[4,5-g]isoquinolin-5-yl)furo[3,4-e]-1,3-benzodioxol-6(8H)-one	Compound2202
(1R,3aR,5R,5aS,8aR,9S,9aS)-9-hydroxy-1,5,8a-trimethyl-3a,4,5,5a,6,7,9,9a-octahydro-1H-azuleno[7,6-d]furan-2,8-dione	Compound2203
(4S)-4-hydroxy-4-[(3R)-3-hydroxybutyl]-3,5,5-trimethylcyclohex-2-en-1-one	Compound2204
(4S,5R)-4-Hydroxy-4-[(1E,3R)-3-hydroxy-1-buten-1-yl]-3,3,5-trimet hylcyclohexanone	Compound2205
4-Phenylbicyclo[2,2,2]octan-1-ol	Compound2206
4-Phenylbicyclo[2.2.2]octan-1-ol	Compound2207
demethoxy-[6]-gingerol	Compound2208
methyl,[4]-gingerol	Compound2209
[(1R,3R,4R,4aS,8aS)-3,4a,8,8-tetramethyl-5'-oxo-spiro[decalin-4,2'-tetrahydrofuran]-1-yl] acetate	Compound2210
[(1R,3R,4R,4aS,8aS)-3,4a,8,8-tetramethyl-6'-oxo-spiro[decalin-4,2'-tetrahydropyran]-1-yl] acetate	Compound2211
[(2S,4aS,5R,6R,8aS)-1,1,4a,6-tetramethyl-5'-oxo-spiro[decalin-5,2'-tetrahydrofuran]-2-yl] acetate	Compound2212
(2S)-2-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]-8,8-dimethyl-2,3-dihydropyrano[2,3-f]chromen-4-one	Compound2213
(2S)-5-Hydroxy-7-methoxy-8-[(E)-3-oxo-1-butenyl] flavanone	Compound2214
(2S)-5-Hydroxy-7-methoxy-8-[(E)-3-oxo-1-butenyl]flavanone	Compound2215
(8S,9R)-9-hydroxy-8-(2-hydroxypropan-2-yl)-8,9-dihydrofuro[2,3-h]chromen-2-one	Compound2216
2-[(1R,3S,4S)-3-isopropenyl-4-methyl-4-vinylcyclohexyl]propan-2-ol	Compound2217
2-[(3R)-8,8-dimethyl-3,4-dihydro-2H-pyrano[6,5-f]chromen-3-yl]-5-methoxyphenol	Compound2218
4,7-dimethyl-7-(4-methylpent-3-enyl)bicyclo[2.2.1]heptan-3-ol	Compound2219
(e)-[4]-shogaol	Compound2220
(e)-[5]-shogaol	Compound2221
[4]-gingerdiol	Compound2222
methyl (E)-[4]-shogaol	Compound2223
1-[1-Oxo-3(3,4-methylenedioxyphenyl)-2E-propenyl]piperidine	Compound2224
1-[1-Oxo-3(3,4-methylenedioxyphenyl)-2E-propenyl]pyrrolidine	Compound2225
{4-[(4-Methylbenzyl)oxy]phenyl}methanol	Compound2226
2-methoxy-5-[(Z)-prop-1-enyl]phenol	Compound2227
5-[(Z)-2-(3-hydroxy-4-methoxy-phenyl)vinyl]resorcinol	Compound2228
5-[(Z)-2-(4-hydroxy-3-methoxy-phenyl)vinyl]resorcinol	Compound2229
2-[2-(4'-Methoxyphenyl)ethyl] chromone	Compound2230
5-hydroxy-2-[2-(2-hydroxyphenyl)ethyl] chromone	Compound2231
6-Hydroxy-2-[2-(2-hydroxyphenyl) ethyl]chromone	Compound2232
6-Hydroxy-2-[2-(4-hydroxyphenyl) ethyl]chromone	Compound2233
6-hydroxy-2-[2-(4'-methoxylphenyl)rthyl]chromone	Compound2234
4-[(2R,3S)-4-(1,3-benzodioxol-5-yl)-2,3-dimethylbutyl]-2-methoxyphenol	Compound2235
6-methoxy-2[2-(3'-methoxyphenyl)ethyl]chromone	Compound2236
6-methoxy-2-[2-(4'-methoxypheny1)-ethyl]-chromone	Compound2237
9-hydroxy-6-(4-hydroxyphenyl)-8h-[1,3]dioxolo[4,5-g]chromen-8-one	Compound2238
3-(4-hydroxy-3-methoxyphenyl)-N-[2-(4-hydroxyphenyl)ethyl]propanamide	Compound2239
(13aS)-2,3,10-trimethoxy-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinolin-9-ol	Compound2240
2,9,10-Trimethoxy-5,6-dihydroisoquinolino[2,1-b]isoquinolin-7-ium-3-ol	Compound2241
(2R,3R,8R)-3,5-dihydroxy-2-(4-hydroxyphenyl)-8-isopropenyl-2,3,8,9-tetrahydrofuro[2,3-h]chromen-4-one	Compound2242
(2S)-2',4'-Dihydroxy-2-(1-hydroxy-1-methylethyl)dihydrofuro[2,3-h]flavanone	Compound2243
(2S)-2',4'-Dihydroxy-2''-(1-hydroxy-1-methylethyl)dihydrofuro(2S)-2',4'-Dihydroxy-2''-(1-hydroxy-1-methylethyl)dihydrofuro [2,3-h]-flavanone	Compound2244
2-[(4R,4aS)-4,7-dimethyl-2,3,4,4a,5,6-hexahydronaphthalen-1-yl]acrylic acid	Compound2245
(1R,3aS,4R,6aS)-1,4-bis(3,4-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[4,3-c]furan	Compound2246
(3S,3'R,4'R,9S,9aS)-4'-hydroxy-3'-methyl-3-[(2S,4S)-4-methyl-5-oxooxolan-2-yl]spiro[1,2,3,5,6,7,8,9a-octahydropyrrolo[1,2-a]azepine-9,5'-oxolane]-2'-one	Compound2247
(3S,3'S,8S,9R,9aR)-8-methoxy-3'-methyl-3-[(2S,4S)-4-methyl-5-oxooxolan-2-yl]spiro[1,2,3,5,6,7,8,9a-octahydropyrrolo[1,2-a]azepine-9,5'-oxolane]-2'-one	Compound2248
4,8-dimethoxyfuro[2,3-b]quinolin-7-ol	Compound2249
4-[(1R,3aR,4R,6aR)-4-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[4,3-c]furan-1-yl]-2,6-dimethoxyphenol	Compound2250
4-[(2R,3S,4S,5S)-5-(1,3-benzodioxol-5-yl)-3,4-dimethyl-2-tetrahydrofuranyl]-2-methoxyphenol	Compound2251
4-[(2S,3S,4R,5R)-5-(4-hydroxy-3-methoxyphenyl)-3,4-dimethyloxolan-2-yl]-2,6-dimethoxyphenol	Compound2252
8-hydroxy-1,6-dimethyl-1,2-dihydrophenanthro[1,2-b]furan-10,11-dione	Compound2253
(3R)-2,3-Dihydro-5,7-dihydroxy-3-[(4-methoxyphenyl)methyl]-6,8-dimethyl-4H-1-benzopyran-4-one	Compound2254
1,2,3-trimethoxy-5-[(1E)-1-propenyl]benzene	Compound2255
1-[(Z)-2-(3,5-dimethoxyphenyl)vinyl]-3,5-dimethoxybenzene	Compound2256
4-[(Z)-3-hydroxyprop-1-enyl]-2,6-dimethoxyphenol	Compound2257
(5aR,8aS,9R)-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-isobenzofurano[5,6-f][1,3]benzodioxol-8-one	Compound2258
[1]-paradol	Compound2259
[4]-gingerol	Compound2260
[4]-isogingerol	Compound2261
[5]-gingerol	Compound2262
6-hydroxy-[6]-shogaol	Compound2263
acetoxy-[4]-gingerol	Compound2264
methoxy-[4]-gingerol	Compound2265
methyl [4]-gingerol	Compound2266
acetic acid [(1R,3R,4R,4aS,8aS)-4-hydroxy-3,4a,8,8-tetramethyl-4-[2-(2-oxo-5H-furan-3-yl)ethyl]-1-decalinyl] ester	Compound2267
9-ethoxy-10-oxatricyclo[7.2.1.0(1,6)]dodecan-11-one	Compound2268
1-[1-Oxo-3(3,4-methylenedioxy-5-methoxyphenyl)-2Z-propenyl]piperidine	Compound2269
3-Chloro-10,11-dihydro-5H-dibenzo[b,f]azepine	Compound2270
3-acetoxy-[4]-gingerdiol	Compound2271
6-[(1S, 2R)-2, 3- dihydroxy-l-methoxy-3-methylbutyl]-7-methoxycoumarin	Compound2272
6-[(1s,,2r)-2,,3-,dihydroxy-l-methoxy-3-methylbutyl]-7-methoxycoumarin	Compound2273
methyl 5-acetoxy-[4]-gingerdiol	Compound2274
methyl,5-acetoxy-[4]-gingerdiol	Compound2275
1,5-Di-isobutyl-3,3-dimethyl[3,1,0]cyclohexadione	Compound2276
3-methoxy-4-[(E)-3-phenylprop-2-enyl]phenol	Compound2277
7H-Furo[3,2-g][1]benzopyran-7-one,9-methoxy-4-(3-methyl-2-oxobutoxy)	Compound2278
(3R,5S,6R,8R,11R,12S,13S)-3-(FURAN-3-YL)-5-METHYL-2,9,14-TRIOXAPENTACYCLO[11.2.1.1,(1)(1).0(1),.0,(1)(2)]HEPTADECANE-10,15-DIONE	Compound2279
(1S,6R,7R)-7-[(3S)-3-hydroxybutyl]-4-isopropylidene-1-methyl-3-norcaranone,(4S)-dihydrocurcumenone	Compound2280
11-Dihydro-4-methoxy-dibenz[b,f]oxepin-2-ol	Compound2281
11-Dihydro-dibenz[b,f]oxepin-2,4-diol	Compound2282
2,6-dimethoxy-4-[(2S,3S)-7-methoxy-3-methyl-5-[(E)-prop-1-enyl]-2,3-dihydrobenzofuran-2-yl]phenol	Compound2283
(1S,2R,4S,7R)-7-[(E)-5-hydroxy-4-methylpent-3-en-1-yl]-1,7-dimethylbicyclo[2.2.1]heptane- 2-alcohol	Compound2284
1,3-dimethoxy-5-[2-(3-methoxyphenyl)ethyl]benzene	Compound2285
Heriguard	CHEBI:16112
limonin	CHEBI:16226
Baicalin	CHEBI:2981
Berbamine	CHEBI:3063
2-propylpentanoate	CHEBI:60654
TACROLIMUS MONOHYDRATE	CHEBI:61057
Coptisine	CHEBI:67862
Obamegine	CHEBI:7714
Oxyacanthine	CHEBI:7853
phellodendrine	CHEBI:80886
Worenine	CHEBI:80913
Valproate sodium	CHEBI:9925
Sodium valproate	Compound2286
